id	ts	model	prompt	cached	hit%	comp	reasoning	finish	nMsgs	sysLen
1	04:19:05	deepseek-v4-pro	6665	2176	32.6	236	149	tool_calls	2	10314
2	04:19:11	deepseek-v4-pro	74189	2176	2.9	249	109	tool_calls	5	10307
3	04:19:18	deepseek-v4-pro	75193	74368	98.9	195	66	tool_calls	8	10307
4	04:19:23	deepseek-v4-pro	81632	75264	92.2	3825	3662	tool_calls	11	10307
5	04:20:43	deepseek-v4-pro	92011	85376	92.8	4586	4428	tool_calls	14	10307
6	04:22:22	deepseek-v4-pro	121613	96512	79.4	3825	3471	tool_calls	17	10307
7	04:33:10	deepseek-v4-pro	125468	125312	99.9	2617	1437	tool_calls	19	10307
8	04:34:12	deepseek-v4-pro	128108	128000	99.9	1246	145	tool_calls	21	10307
9	04:34:39	deepseek-v4-pro	132215	2176	1.6	682	100	tool_calls	23	11548
10	04:34:59	deepseek-v4-pro	132922	132864	100	94	49	tool_calls	25	11548
11	04:35:04	deepseek-v4-pro	133068	2688	2	1667	1551	tool_calls	27	11657
12	04:36:06	deepseek-v4-pro	134760	134656	99.9	130	0	tool_calls	29	11657
13	04:36:11	deepseek-v4-pro	134915	134784	99.9	675	262	tool_calls	31	11657
14	04:36:24	deepseek-v4-pro	135615	135552	100	124	0	tool_calls	33	11657
15	04:36:28	deepseek-v4-pro	135764	135680	99.9	372	190	tool_calls	35	11657
16	04:36:35	deepseek-v4-pro	136161	136064	99.9	111	0	tool_calls	37	11657
17	04:36:40	deepseek-v4-pro	136297	136192	99.9	219	0	tool_calls	39	11657
18	15:37:26	deepseek-v4-pro	100827	96896	96.1	7751	7605	tool_calls	45	11836
19	15:39:48	deepseek-v4-pro	109986	108544	98.7	5648	1523	tool_calls	48	11836
20	15:47:56	deepseek-v4-pro	115658	109952	95.1	3618	90	tool_calls	50	11836
21	15:52:25	deepseek-v4-pro	122197	3200	2.6	200	46	tool_calls	52	11836
23	15:53:06	deepseek-v4-flash	101329	0	0	403	211	tool_calls	56	11836
25	15:54:08	deepseek-v4-flash	104206	0	0	196	55	tool_calls	60	11836
26	15:54:33	deepseek-v4-flash	105276	104320	99.1	350	0	tool_calls	63	11836
27	15:55:04	deepseek-v4-flash	105644	105600	100	510	0	tool_calls	65	11836
28	15:55:55	deepseek-v4-flash	106172	106112	99.9	95	0	tool_calls	67	11836
29	15:56:42	deepseek-v4-flash	121891	106240	87.2	169	53	tool_calls	69	11836
30	15:56:59	deepseek-v4-flash	122331	2944	2.4	247	0	tool_calls	71	11836
31	15:57:32	deepseek-v4-flash	122597	122496	99.9	237	0	tool_calls	73	11836
32	15:57:52	deepseek-v4-flash	122853	122752	99.9	183	0	tool_calls	75	11836
33	15:58:09	deepseek-v4-flash	123055	123008	100	441	0	tool_calls	77	11836
34	15:58:50	deepseek-v4-flash	123515	123392	99.9	328	0	tool_calls	79	11836
35	15:59:19	deepseek-v4-flash	123863	123776	99.9	172	0	tool_calls	81	11836
36	15:59:36	deepseek-v4-flash	124055	124032	100	271	146	tool_calls	83	11836
37	16:00:09	deepseek-v4-flash	124360	124288	99.9	86	0	tool_calls	85	11836
38	16:00:19	deepseek-v4-flash	124630	124416	99.8	157	0	tool_calls	87	11836
39	16:00:33	deepseek-v4-flash	124802	124672	99.9	96	0	tool_calls	89	11836
40	16:01:08	deepseek-v4-flash	140522	124800	88.8	176	64	tool_calls	91	11836
41	16:01:32	deepseek-v4-flash	140878	3584	2.5	217	0	tool_calls	93	11836
42	16:01:58	deepseek-v4-flash	141114	141056	100	394	0	tool_calls	95	11836
43	16:02:33	deepseek-v4-flash	141531	141440	99.9	157	0	tool_calls	97	11836
44	16:02:47	deepseek-v4-flash	141711	141568	99.9	346	23	tool_calls	99	11836
45	16:03:23	deepseek-v4-flash	142080	141952	99.9	166	0	tool_calls	101	11836
46	16:03:36	deepseek-v4-flash	142269	142208	100	391	122	tool_calls	103	11836
47	16:04:22	deepseek-v4-flash	142683	142592	99.9	372	0	tool_calls	105	11836
48	16:05:03	deepseek-v4-flash	143078	142976	99.9	308	0	tool_calls	107	11836
49	16:05:35	deepseek-v4-flash	143409	143360	100	430	127	tool_calls	109	11836
50	16:06:18	deepseek-v4-flash	143862	143744	99.9	422	0	tool_calls	111	11836
51	16:07:01	deepseek-v4-flash	144307	144256	100	144	0	tool_calls	113	11836
52	16:07:13	deepseek-v4-flash	144474	144384	99.9	183	0	tool_calls	115	11836
53	16:07:32	deepseek-v4-flash	144680	144640	100	246	0	tool_calls	117	11836
54	16:07:53	deepseek-v4-flash	144949	144896	100	126	31	tool_calls	119	11836
55	16:08:07	deepseek-v4-flash	146090	145024	99.3	236	109	tool_calls	121	11836
56	16:08:35	deepseek-v4-flash	146213	3584	2.5	2468	0	tool_calls	123	11836
57	16:14:31	deepseek-v4-flash	148711	148608	99.9	821	530	tool_calls	125	11836
58	16:16:51	deepseek-v4-flash	149557	149504	100	798	0	tool_calls	127	11836
59	16:18:34	deepseek-v4-flash	150380	150272	99.9	917	293	tool_calls	129	11836
60	16:20:48	deepseek-v4-flash	151322	151296	100	369	21	tool_calls	131	11836
61	16:21:32	deepseek-v4-flash	151714	151680	100	108	0	tool_calls	133	11836
62	16:21:47	deepseek-v4-flash	151803	3584	2.4	99	0	tool_calls	135	11836
63	16:22:05	deepseek-v4-flash	154110	151808	98.5	1391	1213	tool_calls	137	11836
64	16:26:32	deepseek-v4-flash	155525	155392	99.9	1166	0	tool_calls	139	11836
65	16:29:05	deepseek-v4-flash	156715	156672	100	1975	247	tool_calls	141	11836
66	16:33:16	deepseek-v4-flash	158714	158592	99.9	183	13	tool_calls	143	11836
67	16:33:42	deepseek-v4-flash	158923	158848	100	166	0	tool_calls	145	11836
68	16:34:03	deepseek-v4-flash	159113	158976	99.9	346	0	tool_calls	147	11836
69	16:34:53	deepseek-v4-flash	159483	159360	99.9	221	143	tool_calls	149	11836
70	16:35:42	deepseek-v4-flash	160074	159616	99.7	113	14	tool_calls	151	11836
71	16:36:07	deepseek-v4-flash	165256	160128	96.9	2480	1867	tool_calls	153	11836
72	16:43:49	deepseek-v4-flash	167759	167680	100	434	29	tool_calls	155	11836
73	16:44:53	deepseek-v4-flash	168217	168192	100	89	0	tool_calls	157	11836
74	16:45:10	deepseek-v4-flash	169246	168192	99.4	130	33	tool_calls	159	11836
75	16:45:30	deepseek-v4-flash	169279	3584	2.1	120	0	tool_calls	161	11836
76	16:46:04	deepseek-v4-flash	169799	169344	99.7	794	584	tool_calls	163	11836
77	16:48:22	deepseek-v4-flash	170616	170496	99.9	87	0	tool_calls	165	11836
78	16:48:43	deepseek-v4-flash	170908	170624	99.8	186	0	tool_calls	167	11836
79	16:49:28	deepseek-v4-flash	172096	171008	99.4	361	208	tool_calls	170	11836
80	16:50:58	deepseek-v4-flash	172615	172416	99.9	217	86	tool_calls	172	11836
81	16:51:39	deepseek-v4-flash	173269	172800	99.7	201	74	tool_calls	174	11836
82	16:52:28	deepseek-v4-flash	173580	173440	99.9	209	81	tool_calls	176	11836
83	16:53:12	deepseek-v4-flash	173994	173696	99.8	213	99	tool_calls	178	11836
84	16:53:59	deepseek-v4-flash	174447	174080	99.8	128	63	tool_calls	180	11836
85	16:54:17	deepseek-v4-flash	174805	174464	99.8	371	262	tool_calls	182	11836
86	16:55:03	deepseek-v4-flash	175387	3584	2	45	0	tool_calls	184	11836
87	16:55:17	deepseek-v4-flash	188222	175360	93.2	1287	81	tool_calls	186	11836
88	16:58:01	deepseek-v4-flash	189558	189440	99.9	101	0	tool_calls	188	11836
89	16:58:01	kimi-k3	6930	0	0	66	19	tool_calls	3	11836
90	16:58:13	kimi-k3	19211	5632	29.3	2513	2389	tool_calls	5	11836
91	16:58:14	deepseek-v4-flash	189689	189568	99.9	76	45	stop	190	11836
92	17:00:32	kimi-k3	35629	17920	50.3	4717	4527	tool_calls	8	11836
93	17:03:54	kimi-k3	43550	34304	78.8	164	0	tool_calls	10	11836
94	17:04:05	kimi-k3	48645	42240	86.8	226	0	tool_calls	12	11836
