id=1 ts=08:19:05 model=deepseek-v4-pro prompt=6665 cached=2176 hitPct=32.6 () completion=236 reasoning=149 finish=tool_calls ttft=0 gen=3701 nMsgs=2 roles=[system,user] sysLen=10314
id=2 ts=08:19:11 model=deepseek-v4-pro prompt=74189 cached=2176 hitPct=2.9 (DOWN) completion=249 reasoning=109 finish=tool_calls ttft=0 gen=5388 nMsgs=5 roles=[system,user,assistant,tool,tool] sysLen=10307
id=3 ts=08:19:18 model=deepseek-v4-pro prompt=75193 cached=74368 hitPct=98.9 (up) completion=195 reasoning=66 finish=tool_calls ttft=0 gen=2940 nMsgs=8 roles=[system,user,assistant,tool,tool,assistant,tool,tool] sysLen=10307
id=4 ts=08:19:23 model=deepseek-v4-pro prompt=81632 cached=75264 hitPct=92.2 (DOWN) completion=3825 reasoning=3662 finish=tool_calls ttft=0 gen=78724 nMsgs=11 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool] sysLen=10307
id=5 ts=08:20:43 model=deepseek-v4-pro prompt=92011 cached=85376 hitPct=92.8 (up) completion=4586 reasoning=4428 finish=tool_calls ttft=0 gen=97572 nMsgs=14 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool] sysLen=10307
id=6 ts=08:22:22 model=deepseek-v4-pro prompt=121613 cached=96512 hitPct=79.4 (DOWN) completion=3825 reasoning=3471 finish=tool_calls ttft=0 gen=95292 nMsgs=17 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool] sysLen=10307
id=7 ts=08:33:10 model=deepseek-v4-pro prompt=125468 cached=125312 hitPct=99.9 (up) completion=2617 reasoning=1437 finish=tool_calls ttft=0 gen=60274 nMsgs=19 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool] sysLen=10307
id=8 ts=08:34:12 model=deepseek-v4-pro prompt=128108 cached=128000 hitPct=99.9 (up) completion=1246 reasoning=145 finish=tool_calls ttft=0 gen=25613 nMsgs=21 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool] sysLen=10307
id=9 ts=08:34:39 model=deepseek-v4-pro prompt=132215 cached=2176 hitPct=1.6 (DOWN) completion=682 reasoning=100 finish=tool_calls ttft=0 gen=17918 nMsgs=23 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11548
id=10 ts=08:34:59 model=deepseek-v4-pro prompt=132922 cached=132864 hitPct=100 (up) completion=94 reasoning=49 finish=tool_calls ttft=0 gen=3413 nMsgs=25 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11548
id=11 ts=08:35:04 model=deepseek-v4-pro prompt=133068 cached=2688 hitPct=2 (DOWN) completion=1667 reasoning=1551 finish=tool_calls ttft=0 gen=60851 nMsgs=27 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11657
id=12 ts=08:36:06 model=deepseek-v4-pro prompt=134760 cached=134656 hitPct=99.9 (up) completion=130 reasoning=0 finish=tool_calls ttft=0 gen=2748 nMsgs=29 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11657
id=13 ts=08:36:11 model=deepseek-v4-pro prompt=134915 cached=134784 hitPct=99.9 (up) completion=675 reasoning=262 finish=tool_calls ttft=0 gen=11735 nMsgs=31 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11657
id=14 ts=08:36:24 model=deepseek-v4-pro prompt=135615 cached=135552 hitPct=100 (up) completion=124 reasoning=0 finish=tool_calls ttft=0 gen=2146 nMsgs=33 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11657
id=15 ts=08:36:28 model=deepseek-v4-pro prompt=135764 cached=135680 hitPct=99.9 (DOWN) completion=372 reasoning=190 finish=tool_calls ttft=0 gen=6252 nMsgs=35 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11657
